horse_id,horse_name,father,mother,grandfather,hair_color,farm
,ワンダフルヘヴンB,ハードスパン,Couture Cat,Storm Cat,青鹿,
,ヌンカプト,ナカヤマフェスタ,ディアルーモ,ネオユニヴァース,鹿,
,オーガスタスカイ,ロードカナロア,クィーンズバーン,スペシャルウィーク,黒鹿,
,ラブロッソー,モンテロッソ,ラブカーナ,オース,青鹿,
,スイーツビュッフェ,ゴールドアリュール,サイモンドルチェ,ジャングルポケット,鹿,
,ソールズベリー,ダイワメジャー,ニイガッタメール,シンボリクリスエス,青鹿,
,ルージュシェノン,アジアエクスプレス,レッドクラウディア,アグネスタキオン,栗,
,キャミ,ロードカナロア,ギンマクノヒロイン,グラスワンダー,黒鹿,
,ノンズブレス,マジェスティックウォリアー,デイジーギャル,ブラックタイド,栗,
,グレースブロードB,キンシャサノキセキ,ミルキーブロード,クロフネ,鹿,
,ブロードマリーB,ディープブリランテ,マザイ,ファスリエフ,鹿,
,ブランアルディ,エスポワールシチー,マリアンヌカフェ,マンハッタンカフェ,芦,
,クロンヌドラレーヌ,ロードカナロア,クラウンプリンセス,スペシャルウィーク,鹿,
,フォレクラフト,ドゥラメンテ,ディトナイト,Forest Wildcat,青鹿,
,パレドジュスティス,ロードカナロア,ラブリネスオブパリ,サンデーサイレンス,芦,
,ルショコラ,スクリーンヒーロー,マイネショコラーデ,ロージズインメイ,青鹿,
,サクラカレント,ブラックタイド,サクラレイリ,サクラバクシンオー,鹿,
,エリザベスミノル,ドゥラメンテ,ダイワジェラート,フジキセキ,青鹿,
,アッティラ,ジャスタウェイ,ショコラーチ,キンシャサノキセキ,栗,
,ヴァイキングムーン,アドマイヤムーン,ヴィヴァルダ,Intello,鹿,
,ゴンドワナ,マツリダゴッホ,ヌーナ,Congrats,青鹿,
,スカイロケット,ジャスタウェイ,ティッカーテープ,Royal Applause,鹿,
,スモーキンビリー,Free Drop Billy,Buy for Less,Bodemeister,鹿,
,ピュアゴールド,スクリーンヒーロー,センシュアルドレス,アグネスタキオン,栗,
,スターオブデイズ,エイシンフラッシュ,イノセントデイズ,ダイワメジャー,鹿,
,スーパーファルクス,レッドファルクス,スーヴェニアギフト,Souvenir Copy,芦,
,グランデスパーダ,ダンスディレクター,セイントリースカウト,Saint Ballado,鹿,
,タリア,ビーチパトロール,トリアンドルス,マツリダゴッホ,鹿,
,コスモグングニールB,ヘニーヒューズ,グロリエッテ,アドマイヤムーン,鹿,
,メイショウカジキ,メイショウボーラー,アグネスマクシム,アグネスデジタル,栗,
,クワイエットドーン,ダイワメジャー,ウェイクミーアップ,ロックオブジブラルタル,栗,
,ロードアストラB,ロードカナロア,リラコサージュ,ブライアンズタイム,黒鹿,
,アフターグロウ,スクリーンヒーロー,マイネヒメル,ロージズインメイ,栗,
,トーホウダリンシア,ミッキーアイル,ダイワウィズミー,キングカメハメハ,栗,
,フォミルマジック,サクソンウォリアー,Bewitched,Dansili,芦,
,セミマル,アメリカンペイトリオット,ラルティスタ,マイネルラヴ,黒鹿,
,ワンダイレクト,ハービンジャー,ワントゥワン,ディープインパクト,鹿,
,システムリブート,キタサンブラック,シャンテクレール,Dubawi,鹿,
,メズマライジング,ディープインパクト,フォルト,Blame,黒鹿,
,ジャスティンボルト,キタサンブラック,マラコスタムブラダ,Lizard Island,鹿,
,レオニーノ,リオンディーズ,ビキューナー,ネオユニヴァース,鹿,
,トリオンファルマン,キズナ,ラトナプラ,Distorted Humor,鹿,
,ブロードイメル,ゴールドシップ,ミキノセレナーデ,コロナドズクエスト,栗,
,ワイズメアリー,キタサンブラック,アオイスカーレット,ディープインパクト,鹿,
,トラヴォルジェンテ,ロードカナロア,アヴェンチュラ,ジャングルポケット,黒鹿,
,デンジャーマン,アドマイヤムーン,マヤノカピオラニ,キングカメハメハ,鹿,
,トランペットシェル,ノヴェリスト,イチオクノホシ,ゼンノロブロイ,芦,
,オルコス,ドレフォン,スウェアトウショウ,ディープインパクト,鹿,
,ノックトゥワイスB,スクリーンヒーロー,ネロディアマンテ,シンボリクリスエス,栗,
,ニシノラーナ,ザファクター,ニシノケイト,ゴールドアリュール,鹿,
,スマイルアップ,イスラボニータ,アドマイヤオンリー,クロフネ,芦,
,エヴリーサンクスB,パイロ,ウインルナ,フレンチデピュティ,鹿,
,アニージョ,ケープブランコ,アニムス,ゴールドアリュール,栗,
,ミキノカラクリバコ,タイムパラドックス,ミキノクラリネット,パーソナルラッシュ,鹿,
,マグナムハート,ダイワメジャー,ハートシェイプト,Storm Cat,栗,
,ベジェサ,イスラボニータ,ヘイローフジ,キングヘイロー,鹿,
,ワセダタンク,シニスターミニスター,インユアアームス,ファルブラヴ,黒鹿,
,ベアグッジョブ,バゴ,ナイキトライアンフ,ボストンハーバー,鹿,
,メイショウアポイ,メイショウボーラー,メイショウフロリナ,クロフネ,鹿,
,ニシノリース,ロードアルティマ,ニシノヒナギク,アグネスタキオン,黒鹿,
,ジュラメント,キズナ,ダイワジャンヌ,タニノギムレット,黒鹿,
,スカイドゥエラー,キズナ,フリーバード,アフリート,青鹿,
,ソウルユニバンス,キンシャサノキセキ,シーカーマ,Exchange Rate,黒鹿,
,アスクビックスター,キングカメハメハ,パープル,Galileo,鹿,
,キングレリック,キングカメハメハ,ドリームオブジェニー,Pivotal,栗,
,エクセスリターンB,ストロングリターン,ベアフルート,サクラバクシンオー,栗,
,モンサンラディウスB,ルーラーシップ,ジュリアビコー,ジェイドロバリー,鹿,
,パナプリ,リオンディーズ,コスモハート,マイネルラヴ,黒鹿,
,サムハンター,マジェスティックウォリアー,ヤマカツセイレーン,グラスワンダー,栗,
,ヴァジュランダ,ルーラーシップ,ルルパンブルー,ジャングルポケット,黒鹿,
,タロファイターB,シニスターミニスター,タカヒロガートップ,アドマイヤマックス,鹿,
,ローラスノビリス,ロードカナロア,ベイトゥベイ,Sligo Bay,鹿,
,シャドウアイルB,ノヴェリスト,アルティメイトラブ,シンボリクリスエス,栗,
,リヴォリ,ダイワメジャー,ラリズ,Bernstein,鹿,
,ショウナンアメリア,ロードカナロア,ランスタン,ダイワメジャー,黒鹿,
,レイモミ,ディープインパクト,ネックレス,Darshaan,青鹿,
,ナバロンB,ブラックタイド,シシャモチャン,サクラバクシンオー,鹿,
,ミツカネムーン,アドマイヤムーン,センコウノマイヒメ,スタチューオブリバティ,黒鹿,
,アムールマルルー,ハーツクライ,ネイチャーガイド,エルコンドルパサー,黒鹿,
,キャットリング,メイショウボーラー,キネオソレイユ,ネオユニヴァース,青鹿,
,ケデシュ,リオンディーズ,テーオーヴィーナス,ディープインパクト,黒鹿,
,ロイヤルブライド,ローズキングダム,ピーチフィズ,スウェプトオーヴァーボード,青,
,ピラティス,ロードカナロア,クラリスピンク,ネオユニヴァース,鹿,
,パノティア,ドゥラメンテ,スカーレル,ゴールドアリュール,黒鹿,
,スウィートメリナ,ワールドエース,スイートウィリアム,Miswaki,栗,
,エーティーマクフィ,マクフィ,テンシンランマン,ハーツクライ,鹿,
,センドハーマイラブ,アジアエクスプレス,マチルド,アドマイヤベガ,鹿,
,コズミックフロスト,アメリカンペイトリオット,コズミックフレイム,Doyen,鹿,
,ダイリュウブラック,キタサンブラック,ダイリュウキセキ,ファスリエフ,鹿,
,ウォータールグラン,ダイワメジャー,ウォーターパイパー,Tale of the Cat,鹿,
,ユキヤナギ,パドトロワ,エーピーモモ,ダンスインザダーク,鹿,
,マジェスティック,マジェスティックウォリアー,アーベントロート,フジキセキ,鹿,
,アンテロース,モーリス,シャブリ,ディープインパクト,鹿,
,ガルムキャット,ハーツクライ,パスオブドリームズ,Giant's Causeway,黒鹿,
,ドットクルー,ディーマジェスティ,スターオブロゼッタ,ロードカナロア,鹿,
,オリオンネビュラ,イスラボニータ,オリヒメ,マジェスティックウォリアー,栗,
,ブライトファントム,カレンブラックヒル,マプチートカーユ,フレンチデピュティ,黒鹿,
,ダークブロンド,ハービンジャー,モンローブロンド,アドマイヤベガ,黒鹿,
,マイネルカーライル,Bayern,サイレンスイズゴールド,アグネスゴールド,鹿,
,ミトノシャルマン,キンシャサノキセキ,ピエールナオチャン,ケイムホーム,鹿,
,コレペティトール,ジャスタウェイ,ベガスナイト,コロナドズクエスト,栗,
,サトノヴィレ,デクラレーションオブウォー,ダイワジェラート,フジキセキ,黒鹿,
,フェステスバント,キズナ,フィオドラ,Lord of England,鹿,
,ピンクダイヤ,Speightstown,Tap Diva,Tapit,芦,
,ルーリングB,ルーラーシップ,リープオブフェイス,クロフネ,鹿,
,ゲンパチマイティーB,スマートファルコン,ネームヴァリュー,Honour and Glory,鹿,
,スカーレットジンク,ミッキーアイル,ティンクルチャーミ,スウェプトオーヴァーボード,芦,
,バーニングソウル,フェノーメノ,プリティホワイト,クロフネ,芦,
,コーリングローリー,ヘニーヒューズ,ヤヤラーラ,ゼンノロブロイ,栗,
,ファーンヒル,キンシャサノキセキ,ラブディラン,Dylan Thomas,黒鹿,
,スウィートプロミス,モーリス,アースサウンド,Yes It's True,黒鹿,
,サトノムスタングB,Mineshaft,Mare and Cher,Old Fashioned,黒鹿,
,カネコメアサヒB,ダンカーク,クニコチャン,ゴールドアリュール,栗,
,メディシスB,サウスヴィグラス,バルビーナ,ブラックタイド,鹿,
,ニルカンタテソーロB,Speightstown,ヴェイパー,Galileo,栗,
,ニシノアナB,ドレフォン,レッドセイリング,ゼンノロブロイ,鹿,
,フルールドネージュ,ヘニーヒューズ,クインネージュ,フジキセキ,栗,
,ペイシャリルキス,トランセンド,ゲイリークィンビー,スピニングワールド,鹿,
,アスカロン,Speightstown,Coco as in Chanel,Awesome Again,鹿,
,グロリアムンディB,キングカメハメハ,ベットーレ,Blu Air Force,鹿,
,サンライズホープB,マジェスティックウォリアー,オーパスクイーン,スペシャルウィーク,鹿,
,ハピ,キズナ,クイーンパイレーツ,キングカメハメハ,黒鹿,
,スマッシングハーツ,ヘニーヒューズ,プリティメイズ,ゼネラリスト,鹿,
,ジュンライトボルト,キングカメハメハ,スペシャルグルーヴ,スペシャルウィーク,鹿,
,レッドガラン,ロードカナロア,ダンスオンザルーフ,シンボリクリスエス,鹿,
,オーヴェルニュ,スマートファルコン,ギュイエンヌ,タニノギムレット,鹿,
,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,サンダーガルチ,栗,
,ノットゥルノ,ハーツクライ,シェイクズセレナーデ,Unbridled's Song,鹿,
,クラウンプライド,リーチザクラウン,エミーズプライド,キングカメハメハ,黒鹿,
,バーデンヴァイラーB,ドゥラメンテ,ヴィートマルシェ,フレンチデピュティ,黒鹿,
,テーオーケインズ,シニスターミニスター,マキシムカフェ,マンハッタンカフェ,栗,
,シャマルB,スマートファルコン,ネイティヴコード,アグネスデジタル,鹿,
,タガノビューティー,ヘニーヒューズ,スペシャルディナー,スペシャルウィーク,鹿,
,サクラアリュールB,ゴールドアリュール,シロガネーゼカフェ,Gulch,栗,
,レッドソルダード,マジェスティックウォリアー,レッドソンブレロ,キングカメハメハ,黒鹿,
,コナブラック,キタサンブラック,コナブリュワーズ,キングカメハメハ,黒鹿,
,カイザー,シルバーステート,ヴィヴィッドカラー,ダンスインザダーク,青鹿,
,シュプリンガー,ラブリーデイ,アルテミスハート,ハーツクライ,青,
,コスモフロイデ,コパノリッキー,レスタンノール,ステイゴールド,栗,
,ホウオウフウジン,ロードカナロア,アゲヒバリ,クロフネ,芦,
,スタティスティクス,ハーツクライ,トップデサイル,Congrats,黒鹿,
,エスポワールミノル,ケープブランコ,マイプラーナ,マンハッタンカフェ,鹿,
,シエラネバダ,ディープインパクト,ミスパスカリ,Mr. Greeley,芦,
,リーゼントジャンボ,ゴールドシップ,レディインディ,A.P. Indy,芦,
,ストップザタイム,ダイワメジャー,グレイトタイミング,Raven's Pass,栗,
,シャドウエリス,ハーツクライ,パールシャドウ,クロフネ,鹿,
,グラスシフォン,シニスターミニスター,グラスルノン,フレンチデピュティ,栗,
,マライアガーネット,ミッキーロケット,メイレディ,ジェニュイン,鹿,
,クリノビッグママ,ストロングリターン,クリノツネチャン,マイネルセレクト,栗,
,ビッグファイト,バトルプラン,クッカ,ディープブリランテ,鹿,
,ピスティス,ミュゼスルタン,ハンナ,ディープインパクト,栗,
,イデアミラーグロ,トビーズコーナー,メルシーミヨ,アドマイヤボス,鹿,
,ベッケンバウアー,レーヴミストラル,マラチバンド,Dixieland Band,鹿,
,スングリダンダン,マジェスティックウォリアー,チクタクボンボン,ゴールドアリュール,栗,
,ペイシャボビー,シャンハイボビー,ペイシャマリヤ,タイキシャトル,鹿,
,エリアントゥス,アジアエクスプレス,スイートシャイン,ディープブリランテ,芦,
,ナムラオードリー,サトノアラジン,ナムラユメ,ゼンノロブロイ,黒鹿,
,メモリーグラス,イスラボニータ,ラベンダーメモリー,ナカヤマフェスタ,黒鹿,
,サイタブラウン,カレンブラックヒル,ミスサイベリア,Giant's Causeway,栗,
,アンビバレント,ディスクリートキャット,フォーミー,アドマイヤマックス,鹿,
,ロケッツアン,ミッキーロケット,アンナヴァン,エンドスウィープ,鹿,
,ヴァルカン,ベストウォーリア,リスクオン,マツリダゴッホ,栗,
