horse_id,horse_name,father,mother,grandfather,hair_color,farm
,スターオブアーサー,ビッグアーサー,クインズラッシュ,スウェプトオーヴァーボード,芦,
,エリカキルシェ,マインドユアビスケッツ,ゴルトキルシェ,ステイゴールド,栗,
,ニフェーデービル,ルーラーシップ,チュラカーギー,ゴールドアリュール,鹿,
,キモンアップルB,コパノリッキー,キモンレッド,サウスヴィグラス,栗,
,ゴールデンウィンド,ドレフォン,ダブルゴールド,ゴールドアリュール,栗,
,スズカコーズ,スズカコーズウェイ,アイシースズカ,サンデーサイレンス,黒鹿,
,エコロアレス,Unified,Red Hot Tweet,Heatseeker,黒鹿,
,ナックブレイブB,レッドファルクス,ワキノバクシン,サクラバクシンオー,芦,
,スクーバー,ヘニーヒューズ,ソロダンサー,ゴールドアリュール,栗,
,ゴッドセンド,アジアエクスプレス,ギフトオブザラック,ディープインパクト,鹿,
,ネバレチュゴー,アメリカンペイトリオット,メランコリア,プリサイスエンド,鹿,
,ダンスインザリング,キンシャサノキセキ,ナイツエンド,エンドスウィープ,鹿,
,プリティインピンク,キンシャサノキセキ,アサケゴマ,クロフネ,黒鹿,
,フエキ,ディスクリートキャット,スパークルレディー,フォーティナイナー,栗,
,ハロースクロールB,ヘニーヒューズ,グレイスティアラ,フジキセキ,黒鹿,
,ロジヴィクトリアB,ロジユニヴァース,ギンザヴィクトリア,ゼンノロブロイ,黒鹿,
,ルージュブラン,エピファネイア,グリサージュ,クロフネ,芦,
,マスケティアーズ,ネオユニヴァース,ミスマープル,Sinndar,黒鹿,
,ビービーキング,ワールドエース,カリビアンロマンス,コマンズ,鹿,
,ホテルカリホルニア,ゴールドアリュール,アドバンスクラーレ,サクラバクシンオー,鹿,
,ビーマイベイビー,ジョーカプチーノ,デスティニーラブ,アグネスデジタル,鹿,
,サンフィニティ,ルーラーシップ,イントロダクション,デュランダル,鹿,
,ノアファンタジーB,ディスクリートキャット,メジロベイシンガー,メジロライアン,鹿,
,ソニックムーヴ,モーリス,サイレントソニック,ディープインパクト,黒鹿,
,デュアルキャリアーB,War Front,A Star Is Born,Galileo,鹿,
,アジアノジュンシン,アジアエクスプレス,バトルアンコール,フジキセキ,鹿,
,セイウンハルカニ,バゴ,ニシノナースコール,ブライアンズタイム,青鹿,
,ヒメカミノイタダキ,アドマイヤムーン,ファミリズム,ダンスインザダーク,栗,
,センタースリール,ベルシャザール,マッシヴエレガンス,ディープブリランテ,鹿,
,クリーンドリーム,ダンカーク,マヤノメメント,フレンチデピュティ,芦,
,ネイリッカ,メイショウボーラー,ケージーナデシコ,クロフネ,芦,
,グラスデスティーノB,ワールドエース,グラスプリマ,シンボリクリスエス,鹿,
,ハイエストエンド,エスケンデレヤ,デュークタイフーン,フジキセキ,栗,
,ギャラクシーナイト,ドゥラメンテ,アンジェリック,シンボリクリスエス,青鹿,
,アメリカンエールB,Tapit,Sindy With an S,Broken Vow,芦,
,マイコレット,ベルシャザール,プリティーキャロル,サウスヴィグラス,芦,
,スクリーンプロセス,スクリーンヒーロー,サイレントクロップ,シンボリクリスエス,青鹿,
,パワーブローキング,アメリカンペイトリオット,ピクシープリンセス,ディープインパクト,鹿,
,ヘキクウ,ラブリーデイ,シーナリー,Scat Daddy,芦,
,ガルヴィハーラ,ゴールドアリュール,ポロンナルワ,Rahy,栗,
,サトノフォース,ディープインパクト,ビタースウィート,Afleet Alex,黒鹿,
,ブレイクフォース,アジアエクスプレス,プレシャスフラワー,サンデーサイレンス,栗,
,クアトロマジコB,サトノアラジン,ミスティークII,Monsun,鹿,
,ロジカルガール,ダノンシャンティ,ロジカルクィーン,Deputy Minister,栗,
,コスモアンジュ,トゥザワールド,ゴールドエンジェル,クロフネ,鹿,
,オメガラヴィサンB,ロードカナロア,オメガグレイス,サンデーサイレンス,鹿,
,シュアーヴアリアB,ゴールドシップ,スズノネイロ,デュランダル,黒鹿,
,ショウナンバービー,トゥザワールド,グロリエッテ,アドマイヤムーン,鹿,
,ゼログラヴィティ,アドマイヤムーン,ヴァレッタ,Cape Cross,黒鹿,
,カンティーユ,オルフェーヴル,タマヒカル,パラダイスクリーク,鹿,
,ジャストザビアンカ,ディープブリランテ,ジャストザハピネス,ハーツクライ,青鹿,
,スイーツマジック,コパノリチャード,ハミングトップ,リンドシェーバー,鹿,
